id,parent_id,leaf,name,label,detail,link,pmid,sort,root_url,sample_url,field_type,keyword_searchable,value_type,version
68,26,True,ANNOVAR_refseq_PANTHER_GO_SLIM_molecular_function_list_id,ANNOVAR refseq PANTHER GO-Slim Molecular Function,"The PANTHER GO-Slim Molecular Function annotations queried through PANTHER API for IDs corresponding to ANNOVAR_refseq_Transcript_ID column. If there is more than one gene ID, a non-redundant list of GO terms from all genes is shown here.",,,,http://amigo.geneontology.org/amigo/term/,,text,True,term_id,"GO release 2024-01-17, released 2024-06-20"
628,26,True,ANNOVAR_refseq_PANTHER_protein_class_list_id,ANNOVAR refseq PANTHER Protein Class,"The PANTHER Protein Class annotations queried through PANTHER API for IDs corresponding to ANNOVAR_refseq_Transcript_ID column. If there is more than one gene ID, a non-redundant list of PANTHER Protein Class terms from all genes is shown here.",,,,https://pantherdb.org/panther/category.do?categoryAcc=,,text,True,term_id,"PANTHER UPL 19, released 2024-06-20"
70,26,True,ANNOVAR_refseq_PANTHER_pathway_list_id,ANNOVAR refseq PANTHER Pathways,"The PANTHER pathway annotations queried through PANTHER API for IDs corresponding to ANNOVAR_refseq_Transcript_ID column. If there is more than one gene ID, a non-redundant list of PANTHER Pathways from all genes is shown here.",,,,https://pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=,,text,True,term_id,"PANTHER UPL 19, released 2024-06-20"
72,26,True,ANNOVAR_refseq_REACTOME_pathway_list_id,ANNOVAR refseq Reactome pathways,"The Reactome Pathway annotations queried through PANTHER API for IDs corresponding to ANNOVAR_refseq_Transcript_ID column. If there is more than one gene ID, a non-redundant list of Reactome Pathways from all genes is shown here.",,,,https://reactome.org/PathwayBrowser/#/,,text,True,term_id,"Reactome database version 86, released 2023-09-07"
75,26,True,ANNOVAR_ucsc_Closest_gene(intergenic_only),,"""closest genes if the variant is intergenic. Format: gene ID1:transcript ID1(dist=distance),gene ID2:transcript ID2(dist=distance)""",,,,,,text,True,,
76,26,True,ANNOVAR_ucsc_Effect,,"""ANNOVAR consequence with UCSC knownGene as gene model. Multiple consequences are separated by ""|"" The order corresponds to ANNOVAR_ucsc_Transcript_ID""",,,,,,text,True,,
77,26,True,ANNOVAR_ucsc_Exon_Rank,,"""exon number the variant locates (if applicable) Multiple annotations are separated by ""|"" The order corresponds to ANNOVAR_ucsc_Transcript_ID""",,,,,,text,True,,
78,26,True,ANNOVAR_ucsc_Gene_ID,,"""UCSC gene IDs corresponding to transcripts. Multiple IDs are separated by ""|"" The order corresponds to ANNOVAR_ucsc_Transcript_ID""",,,,,,text,True,,
79,26,True,ANNOVAR_ucsc_HGVSc,,"""variant in format of HGVSc. Multiple annotations are separated by ""|"" The order corresponds to ANNOVAR_ucsc_Transcript_ID""",,,,,,text,True,,
80,26,True,ANNOVAR_ucsc_HGVSp,,"""variant in format of HGVSp. Multiple annotations are separated by ""|"" The order corresponds to ANNOVAR_ucsc_Transcript_ID""",,,,,,text,True,,
